# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       c9/ed/2714489c5da7642ce880d63b43810e2f8fe1
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-21T22:32:18.754996
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=2 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f7aa795 FS test: Collect inode data instead of `du`
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7602836 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth         f_num       d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          2          2             1             1      0.000        ok       0.000  0x0005cd3800  0x0000185c00  0x000594dc00        25688          16        25672
0x0000001000          2          2             2             1      0.000        ok       0.000  0x0005cd3800  0x0000187800  0x000594c000        25688          19        25669
0x0000001000          2          2             3             1      0.000        ok       0.000  0x0005cd3800  0x0000189400  0x000594a400        25688          22        25666
0x0000001000          2          2             4             1      0.000        ok       0.000  0x0005cd3800  0x000018b000  0x0005948800        25688          25        25663
0x0000001000          2          2             5             1      0.000        ok       0.000  0x0005cd3800  0x000018cc00  0x0005946c00        25688          28        25660
0x0000001000          2          2             6             1      0.000        ok       0.000  0x0005cd3800  0x000018e800  0x0005945000        25688          31        25657
0x0000001000          2          2             7             1      0.000        ok       0.000  0x0005cd3800  0x0000190400  0x0005943400        25688          34        25654
0x0000001000          2          2             8             1      0.000        ok       0.000  0x0005cd3800  0x0000192000  0x0005941800        25688          37        25651
0x0000001000          2          2             9             1      0.000        ok       0.000  0x0005cd3800  0x0000193c00  0x000593fc00        25688          40        25648
0x0000001000          2          2            10             1      0.000        ok       0.000  0x0005cd3800  0x0000195800  0x000593e000        25688          43        25645
0x0000001000          2          2            11             1      0.000        ok       0.000  0x0005cd3800  0x0000197400  0x000593c400        25688          46        25642
0x0000001000          2          2            12             1      0.000        ok       0.000  0x0005cd3800  0x0000199000  0x000593a800        25688          49        25639
0x0000001000          2          2            13             1      0.000        ok       0.000  0x0005cd3800  0x000019ac00  0x0005938c00        25688          52        25636
0x0000001000          2          2            14             1      0.000        ok       0.000  0x0005cd3800  0x000019c800  0x0005937000        25688          55        25633
0x0000001000          2          2            15             1      0.000        ok       0.000  0x0005cd3800  0x000019e400  0x0005935400        25688          58        25630
